File name,Contains,Buzz,Social,Date & time
Batlife_Ottenby_2022-01-20_15-30-17_0000071.wav,-,-,S,20220120 15:30
Batlife_Ottenby_2022-01-20_16-34-40_0000072.wav,-,-,S,20220120 16:34
Batlife_Ottenby_2022-01-20_18-18-32_0000073.wav,-,-,S,20220120 18:18
Batlife_Ottenby_2022-01-20_19-04-27_0000074.wav,-,-,S,20220120 19:04
Batlife_Ottenby_2022-01-20_19-17-00_0000075.wav,"Tettigoniidae (Vårtbitare, obestämd art)",-,-,20220120 19:17
Batlife_Ottenby_2022-01-20_19-38-21_0000076.wav,-,-,S,20220120 19:38
Batlife_Ottenby_2022-01-20_20-24-42_0000077.wav,-,-,S,20220120 20:24
Batlife_Ottenby_2022-01-20_21-22-21_0000078.wav,-,-,S,20220120 21:22
Batlife_Ottenby_2022-01-20_21-43-43_0000079.wav,"Tettigoniidae (Vårtbitare, obestämd art)",-,-,20220120 21:43
Batlife_Ottenby_2022-01-20_22-10-48_0000080.wav,-,-,S,20220120 22:10
Batlife_Ottenby_2022-01-20_22-30-35_0000081.wav,-,-,S,20220120 22:30
Batlife_Ottenby_2022-01-20_22-39-35_0000082.wav,-,-,S,20220120 22:39
Batlife_Ottenby_2022-01-20_23-06-38_0000083.wav,-,-,S,20220120 23:06
Batlife_Ottenby_2022-01-20_23-11-42_0000084.wav,-,-,S,20220120 23:11
Batlife_Ottenby_2022-01-20_23-17-37_0000085.wav,-,-,S,20220120 23:17
Batlife_Ottenby_2022-01-20_23-37-10_0000086.wav,-,-,S,20220120 23:37
Batlife_Ottenby_2022-01-20_23-37-47_0000087.wav,-,-,S,20220120 23:37
Batlife_Ottenby_2022-01-21_00-29-42_0000088.wav,"Tettigoniidae (Vårtbitare, obestämd art)",-,-,20220121 00:29
Batlife_Ottenby_2022-01-21_00-34-16_0000089.wav,-,-,S,20220121 00:34
Batlife_Ottenby_2022-01-21_01-15-34_0000090.wav,-,-,S,20220121 01:15
Batlife_Ottenby_2022-01-21_01-29-01_0000091.wav,-,-,S,20220121 01:29
Batlife_Ottenby_2022-01-21_02-16-15_0000092.wav,-,-,S,20220121 02:16
Batlife_Ottenby_2022-01-21_02-25-34_0000093.wav,-,-,S,20220121 02:25
Batlife_Ottenby_2022-01-21_02-52-59_0000094.wav,-,-,S,20220121 02:52
Batlife_Ottenby_2022-01-21_03-07-34_0000095.wav,-,-,S,20220121 03:07
Batlife_Ottenby_2022-01-21_04-09-14_0000096.wav,-,-,S,20220121 04:09
Batlife_Ottenby_2022-01-21_04-21-10_0000097.wav,Eptesicus serotinus (Sydfladdermus),B,-,20220121 04:21
Batlife_Ottenby_2022-01-21_05-06-23_0000098.wav,-,-,S,20220121 05:06
Batlife_Ottenby_2022-01-21_05-51-56_0000099.wav,-,-,S,20220121 05:51
Batlife_Ottenby_2022-01-21_05-52-39_0000100.wav,-,-,S,20220121 05:52
Batlife_Ottenby_2022-01-21_07-00-08_0000101.wav,-,-,S,20220121 07:00
Batlife_Ottenby_2022-01-21_07-10-45_0000102.wav,-,-,S,20220121 07:10
Batlife_Ottenby_2022-01-21_08-30-52_0000103.wav,-,-,S,20220121 08:30
Batlife_Ottenby_2022-01-22_03-03-38_0000104.wav,-,-,S,20220122 03:03
Batlife_Ottenby_2022-01-22_03-39-23_0000105.wav,-,-,S,20220122 03:39
Batlife_Ottenby_2022-01-27_07-17-08_0000106.wav,-,-,S,20220127 07:17
